DATE,A006RE1Q156NBEA,A822RE1Q156NBEA
1994-01-01,16.9,19.3
1994-04-01,17.5,19.2
1994-07-01,17.1,19.4
1994-10-01,17.5,19.1
1995-01-01,17.6,19.1
1995-04-01,17.2,19.2
1995-07-01,17.0,18.9
1995-10-01,17.2,18.7
1996-01-01,17.2,18.7
1996-04-01,17.7,18.5
1996-07-01,18.1,18.4
1996-10-01,17.9,18.4
1997-01-01,18.2,18.1
1997-04-01,18.7,18.1
1997-07-01,18.8,18.0
1997-10-01,18.8,18.0
1998-01-01,19.3,17.7
1998-04-01,18.9,17.9
1998-07-01,19.1,17.8
1998-10-01,19.3,17.7
1999-01-01,19.7,17.7
1999-04-01,19.4,17.8
1999-07-01,19.5,17.9
1999-10-01,19.7,18
2000-01-01,19.5,17.9
2000-04-01,20.3,17.8
2000-07-01,20.0,17.8
2000-10-01,19.8,17.8
2001-01-01,18.8,18.2
2001-04-01,18.6,18.4
2001-07-01,18.4,18.4
2001-10-01,17.4,18.7
2002-01-01,17.7,18.9
2002-04-01,17.8,19.1
2002-07-01,17.6,19.1
2002-10-01,17.6,19.4
2003-01-01,17.5,19.4
2003-04-01,17.4,19.4
2003-07-01,17.7,19.2
2003-10-01,18.1,19.1
2004-01-01,18.1,19.2
2004-04-01,18.7,19.2
2004-07-01,18.8,19.1
2004-10-01,19.1,19.1
2005-01-01,19.5,19.0
2005-04-01,19.2,19
2005-07-01,19.3,19.0
2005-10-01,19.9,19
2006-01-01,19.9,19
2006-04-01,19.7,19.0
2006-07-01,19.5,19.0
2006-10-01,19.1,19.0
2007-01-01,18.7,19.1
2007-04-01,18.7,19.2
2007-07-01,18.4,19.3
2007-10-01,18.0,19.5
2008-01-01,17.4,19.8
2008-04-01,17.1,20.0
2008-07-01,16.8,20.3
2008-10-01,15.8,20.7
2009-01-01,14.0,20.9
2009-04-01,13.0,21.4
2009-07-01,12.7,21.4
2009-10-01,13.6,21.3
2010-01-01,13.8,21.2
2010-04-01,14.3,21.1
2010-07-01,14.8,20.9
2010-10-01,14.6,20.7
2011-01-01,14.4,20.6
2011-04-01,14.8,20.4
2011-07-01,14.8,20.0
2011-10-01,15.8,19.8
2012-01-01,16.0,19.6
2012-04-01,16.3,19.3
2012-07-01,16.2,19.2
2012-10-01,16.1,19.1
2013-01-01,16.5,18.8
2013-04-01,16.6,18.7
2013-07-01,17.1,18.5
2013-10-01,17.1,18.3
2014-01-01,17.0,18.3
2014-04-01,17.5,18.0
2014-07-01,17.6,17.9
2014-10-01,17.7,17.8
2015-01-01,18.2,17.6
2015-04-01,18.0,17.7
2015-07-01,18.0,17.7
2015-10-01,17.8,17.7
2016-01-01,17.5,17.7
2016-04-01,17.3,17.6
2016-07-01,17.3,17.5
2016-10-01,17.6,17.5
2017-01-01,17.4,17.4
2017-04-01,17.7,17.3
2017-07-01,17.8,17.3
2017-10-01,17.8,17.3
2018-01-01,17.9,17.3
2018-04-01,17.8,17.3
2018-07-01,18.2,17.4
2018-10-01,18.2,17.5
2019-01-01,18.2,17.6
2019-04-01,18.2,17.6
2019-07-01,18.2,17.6
2019-10-01,17.7,17.6
2020-01-01,17.5,18.2
2020-04-01,16.3,20.2
2020-07-01,18.0,18.5
2020-10-01,18.3,18.2
2021-01-01,17.8,18.3
2021-04-01,17.2,17.9
2021-07-01,17.7,17.6
2021-10-01,18.6,17.3
2022-01-01,19.0,17.3
2022-04-01,18.6,17.3
2022-07-01,18.2,17.2
2022-10-01,18.2,17.3
2023-01-01,17.6,17.3
2023-04-01,17.7,17.3
2023-07-01,17.8,17.4
